City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
phan thiet,10.9333,108.1,70.61,84.0,1.0,6.13,VN,1615747008.0
juneau,58.3019,-134.4197,24.01,73.0,6.0,3.62,US,1615746870.0
turmalina,-17.2856,-42.73,78.57,57.0,100.0,4.0,BR,1615746841.0
torbay,47.6666,-52.7314,32.0,64.0,75.0,16.11,CA,1615746926.0
bathsheba,13.2167,-59.5167,84.2,61.0,75.0,13.8,BB,1615747008.0
paka,4.6374,103.4368,78.8,89.0,7.0,5.99,MY,1615747008.0
kavieng,-2.5744,150.7967,81.45,70.0,99.0,3.22,PG,1615747009.0
arraial do cabo,-22.9661,-42.0278,91.4,62.0,0.0,16.11,BR,1615746843.0
provideniya,64.3833,-173.3,20.37,95.0,100.0,6.38,RU,1615747009.0
sao jose da coroa grande,-8.8978,-35.1478,82.04,64.0,100.0,8.84,BR,1615747009.0
bonavista,48.6499,-53.1147,30.99,69.0,100.0,5.75,CA,1615746844.0
lompoc,34.6391,-120.4579,54.0,71.0,90.0,8.05,US,1615746914.0
port elizabeth,-33.918,25.5701,68.0,100.0,90.0,3.44,ZA,1615747010.0
los llanos de aridane,28.6585,-17.9182,66.2,77.0,75.0,6.91,ES,1615747010.0
kushalnagar,12.458,75.959,67.71,63.0,1.0,3.78,IN,1615746844.0
oussouye,12.485,-16.5469,98.6,73.0,0.0,6.91,SN,1615746845.0
sambava,-14.2667,50.1667,79.32,87.0,100.0,10.67,MG,1615747011.0
hobart,-42.8794,147.3294,64.4,52.0,90.0,13.8,AU,1615747011.0
charters towers,-20.1,146.2667,70.56,91.0,0.0,4.45,AU,1615747011.0
chokurdakh,70.6333,147.9167,-21.21,93.0,0.0,3.62,RU,1615746882.0
bereda,43.2686,-7.5406,48.0,87.0,4.0,5.99,ES,1615746846.0
arvika,59.6553,12.5852,35.6,80.0,75.0,5.75,SE,1615747011.0
constitucion,-35.3333,-72.4167,64.36,72.0,53.0,7.58,CL,1615747012.0
tuatapere,-46.1333,167.6833,62.01,68.0,100.0,1.01,NZ,1615747012.0
plock,52.5468,19.7064,39.2,100.0,75.0,5.75,PL,1615747012.0
buzmeyin,38.0507,58.2056,32.0,80.0,90.0,4.61,TM,1615747013.0
wanning,18.8003,110.3967,71.46,90.0,19.0,6.78,CN,1615747013.0
dongying,37.4564,118.4856,56.64,65.0,100.0,9.51,CN,1615747013.0
